Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Data Test,Data Test Action,Direction,Host,Resolved Target IP,Duration,Application Throughput,IP Throughput,Max IP Throughput,IP Throughput DL,Max IP Throughput DL,IP Throughput UL,Max IP Throughput UL,Bytes Transferred DL,Bytes Transferred UL,Test Name,Direction.1,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 12:32:12.209000-05:00,41.697971,-86.233112,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,7.119,1122.822,623.84,3825.304,16041.816,24355.032,623.84,3825.304,,999171.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6615.0,Bowl,T-Mobile
2026-02-26 12:34:22.962000-05:00,41.697955,-86.233139,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.105,1566.085,68.288,120.488,6314.248,21862.016,68.288,120.488,,999358.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:35:35.651000-05:00,41.698464,-86.233129,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,5.989,1334.329,947.304,10351.216,4045.392,7244.904,947.304,10351.216,,998912.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:35:39.239000-05:00,41.698462,-86.233155,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,5.173,1545.73,444.36,4135.936,1991.232,9378.792,444.36,4135.936,,999508.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:37:19.696000-05:00,41.698462,-86.233138,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,129.134.149.160,6.873,1162.775,757.152,8873.576,20690.232,62917.944,757.152,8873.576,,998969.0,Instagram,Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,6675.0,Bowl,AT&T
2026-02-26 12:40:37.487000-05:00,41.697977,-86.23321,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,4.528,1764.979,796.104,6700.976,5514.736,19552.176,796.104,6700.976,,998978.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:41:04.458000-05:00,41.697967,-86.233141,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,7.815,1022.805,634.768,7682.576,2690.208,6335.568,634.768,7682.576,,999153.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:42:45.459000-05:00,41.69796,-86.233151,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,57.144.204.192,6.322,1264.325,780.912,7848.728,16988.704,54114.2,780.912,7848.728,,999133.0,Instagram,Send,Completed,Bowl,fbd516f0,Wi-Fi 6,NR-NSA,6275.0,Bowl,AT&T
2026-02-26 12:43:22.719000-05:00,41.697988,-86.233373,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,5.41,1477.294,698.992,7016.144,5844.104,22546.896,698.992,7016.144,,999020.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:45:42.075000-05:00,41.697961,-86.233358,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,6.629,1205.713,757.696,9137.256,2285.8,3903.072,757.696,9137.256,,999084.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:45:50.116000-05:00,41.697965,-86.233376,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,4.868,1641.65,933.872,8168.704,11172.064,37139.952,933.872,8168.704,,998944.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6675.0,Bowl,Verizon
